user_id,movie_id,rating
1,21,2
1,59,5
1,35,1
1,47,2
1,48,5
1,31,4
1,30,1
1,52,3
1,46,4
1,56,2
1,65,2
1,37,3
1,67,2
1,60,5
1,69,4
1,15,4
1,19,5
1,14,5
1,41,1
1,55,2
1,54,3
2,7,2
2,1,1
2,38,2
2,58,2
2,60,5
2,42,1
2,70,3
2,55,4
2,8,2
2,69,1
2,37,5
2,56,2
2,2,1
2,6,4
2,32,1
2,43,4
2,19,3
2,47,2
2,68,4
2,27,3
2,14,1
3,17,1
3,37,4
3,38,5
3,62,5
3,46,3
3,6,4
3,10,2
3,16,4
3,65,5
3,70,1
3,49,3
3,39,4
3,22,3
3,51,1
3,35,3
3,43,4
3,55,1
3,32,5
3,8,2
3,28,1
3,26,1
4,7,2
4,52,4
4,20,3
4,68,5
4,49,2
4,5,1
4,21,1
4,23,2
4,66,2
4,32,5
4,62,4
4,13,4
4,37,1
4,54,3
4,34,1
4,11,5
4,14,5
4,18,4
4,25,4
4,39,4
4,4,2
5,34,2
5,63,2
5,24,1
5,20,1
5,65,1
5,43,2
5,37,1
5,49,1
5,62,5
5,27,3
5,17,2
5,68,4
5,59,4
5,39,2
5,22,5
5,10,1
5,19,3
5,33,5
5,48,5
5,60,2
5,70,3
6,16,1
6,8,2
6,22,2
6,23,2
6,20,2
6,34,1
6,13,2
6,33,2
6,24,3
6,27,3
6,42,4
6,31,4
6,7,5
6,52,2
6,48,2
6,25,4
6,39,4
6,26,4
6,44,5
6,70,1
6,66,5
7,7,4
7,70,1
7,14,2
7,30,5
7,10,1
7,9,4
7,11,1
7,42,3
7,35,3
7,58,1
7,55,4
7,12,4
7,48,2
7,51,2
7,43,4
7,65,2
7,40,4
7,54,2
7,37,5
7,23,2
7,31,1
8,30,4
8,14,3
8,8,3
8,31,5
8,54,4
8,24,2
8,42,1
8,3,3
8,44,5
8,66,3
8,40,1
8,20,2
8,70,2
8,6,2
8,49,2
8,41,1
8,37,3
8,50,4
8,38,4
8,43,5
8,11,3
9,63,1
9,44,4
9,24,1
9,66,1
9,7,1
9,70,3
9,1,5
9,62,5
9,56,5
9,61,5
9,36,2
9,37,3
9,41,4
9,47,4
9,30,5
9,15,4
9,13,3
9,12,1
9,23,4
9,21,4
9,17,5
10,30,2
10,23,3
10,68,3
10,4,3
10,55,4
10,70,5
10,65,1
10,2,1
10,3,2
10,39,5
10,26,2
10,50,2
10,57,2
10,22,1
10,11,2
10,6,2
10,5,5
10,44,4
10,13,1
10,62,5
10,61,3
11,43,2
11,66,1
11,42,3
11,63,3
11,26,5
11,41,2
11,44,5
11,65,2
11,49,3
11,5,1
11,31,3
11,56,3
11,25,1
11,22,5
11,40,5
11,8,5
11,37,4
11,39,4
11,34,3
11,33,2
11,52,3
12,47,4
12,13,4
12,36,3
12,27,2
12,16,2
12,38,2
12,24,1
12,55,4
12,7,3
12,5,5
12,29,1
12,30,4
12,20,4
12,9,3
12,44,1
12,60,2
12,65,2
12,64,1
12,53,4
12,11,3
12,41,3
13,39,5
13,34,4
13,30,2
13,44,3
13,66,5
13,8,1
13,62,5
13,51,4
13,48,3
13,54,5
13,37,5
13,68,1
13,12,2
13,28,5
13,16,5
13,19,3
13,55,2
13,3,2
13,63,3
13,45,1
13,59,2
14,33,3
14,58,3
14,66,1
14,68,2
14,38,4
14,49,1
14,52,3
14,51,1
14,8,4
14,56,1
14,7,1
14,2,5
14,39,3
14,17,3
14,57,1
14,29,2
14,62,4
14,46,5
14,37,1
14,55,3
14,45,4
15,51,3
15,29,1
15,48,4
15,63,5
15,34,2
15,60,1
15,36,3
15,61,4
15,16,2
15,20,2
15,1,4
15,55,2
15,8,2
15,70,1
15,58,4
15,2,5
15,22,4
15,45,5
15,11,1
15,52,5
15,32,4
16,65,2
16,40,1
16,31,1
16,26,3
16,41,2
16,5,1
16,50,2
16,58,1
16,34,5
16,13,3
16,21,5
16,12,4
16,10,3
16,18,5
16,42,5
16,28,1
16,55,1
16,23,1
16,51,2
16,59,1
16,17,5
17,49,3
17,30,3
17,62,5
17,32,3
17,54,1
17,38,4
17,3,4
17,51,5
17,45,1
17,52,4
17,37,1
17,21,2
17,56,5
17,14,5
17,59,3
17,42,2
17,4,4
17,9,3
17,17,4
17,57,3
17,58,5
18,63,4
18,31,5
18,25,1
18,13,1
18,61,2
18,14,1
18,10,3
18,27,1
18,59,5
18,64,2
18,66,2
18,41,1
18,46,1
18,37,1
18,54,1
18,60,5
18,55,3
18,6,3
18,21,2
18,70,3
18,50,5
19,20,1
19,30,2
19,31,5
19,19,2
19,55,1
19,61,3
19,33,1
19,24,5
19,3,4
19,25,3
19,39,5
19,28,3
19,18,3
19,64,2
19,47,2
19,4,4
19,60,3
19,29,2
19,5,2
19,32,1
19,27,5
20,25,3
20,46,4
20,8,4
20,70,2
20,5,2
20,47,5
20,42,2
20,36,3
20,51,3
20,48,2
20,10,3
20,64,3
20,43,4
20,57,5
20,68,1
20,33,2
20,59,4
20,67,1
20,34,3
20,37,1
20,62,3
21,62,1
21,66,1
21,11,4
21,12,3
21,3,1
21,50,5
21,68,4
21,69,1
21,64,1
21,35,2
21,21,4
21,27,2
21,26,1
21,52,4
21,70,5
21,24,3
21,9,3
21,39,1
21,55,2
21,38,4
21,33,4
22,18,1
22,7,3
22,11,3
22,46,3
22,3,1
22,19,5
22,22,2
22,34,5
22,39,4
22,37,5
22,67,3
22,57,4
22,20,1
22,52,1
22,60,2
22,33,3
22,43,3
22,36,2
22,13,2
22,66,2
22,5,2
23,54,2
23,37,3
23,64,5
23,70,5
23,31,5
23,67,3
23,35,3
23,7,2
23,44,3
23,63,3
23,27,5
23,49,3
23,50,4
23,55,3
23,46,4
23,33,3
23,57,4
23,32,4
23,22,1
23,52,1
23,4,2
24,49,2
24,13,2
24,22,2
24,18,1
24,56,5
24,21,1
24,37,1
24,16,2
24,28,4
24,60,4
24,34,1
24,54,3
24,31,1
24,51,4
24,24,5
24,30,2
24,6,5
24,5,4
24,65,4
24,29,1
24,39,1
25,33,5
25,25,4
25,54,4
25,4,5
25,18,5
25,34,3
25,40,1
25,66,3
25,59,2
25,30,4
25,70,3
25,21,1
25,56,2
25,44,4
25,11,5
25,38,4
25,10,2
25,50,5
25,1,3
25,65,1
25,58,4
26,43,3
26,1,5
26,30,3
26,32,3
26,17,3
26,28,4
26,31,5
26,40,3
26,52,4
26,20,3
26,49,4
26,66,5
26,2,5
26,16,4
26,29,4
26,45,2
26,57,4
26,7,2
26,15,1
26,27,4
26,4,2
27,9,5
27,21,1
27,22,1
27,51,3
27,42,5
27,66,3
27,62,5
27,32,5
27,35,1
27,59,5
27,37,3
27,4,1
27,7,5
27,54,1
27,29,4
27,40,5
27,53,3
27,12,3
27,33,5
27,19,5
27,10,2
28,11,4
28,52,3
28,63,1
28,66,2
28,20,1
28,56,2
28,38,3
28,6,1
28,39,4
28,23,1
28,62,5
28,70,5
28,29,1
28,40,4
28,32,3
28,65,3
28,64,3
28,37,3
28,50,5
28,34,3
28,21,5
29,46,5
29,14,2
29,53,2
29,3,5
29,10,4
29,42,1
29,60,4
29,31,1
29,62,4
29,21,2
29,12,3
29,63,2
29,36,5
29,45,4
29,67,1
29,16,3
29,43,2
29,66,2
29,33,5
29,9,5
29,30,3
30,66,4
30,11,2
30,1,1
30,64,1
30,15,2
30,44,5
30,7,4
30,25,2
30,35,2
30,3,4
30,40,2
30,6,1
30,16,1
30,38,4
30,53,3
30,2,4
30,21,5
30,67,5
30,36,1
30,27,1
30,5,2
31,56,5
31,40,1
31,55,2
31,67,3
31,29,2
31,37,5
31,44,2
31,54,4
31,66,2
31,18,1
31,27,3
31,33,2
31,63,3
31,24,5
31,38,4
31,15,2
31,42,3
31,60,3
31,22,1
31,51,4
31,19,5
32,58,4
32,42,5
32,54,4
32,43,4
32,1,5
32,55,3
32,35,1
32,5,2
32,49,4
32,3,5
32,7,1
32,46,5
32,18,3
32,2,2
32,33,2
32,63,2
32,50,2
32,27,2
